method,path,tag,handler,file,line
POST,/api/v1/interview/sessions/start,interview,start_session,backend/app/api/v1/routes/interview.py,342
POST,/api/v1/interview/sessions/{session_id}/complete,interview,complete_interview_session,backend/app/api/v1/routes/interview.py,392
POST,/api/v1/interview/start,interview,start,backend/app/api/v1/routes/interview.py,173
GET,/api/v1/interview/stories,interview,list_stories,backend/app/api/v1/routes/interview.py,469
POST,/api/v1/interview/stories,interview,create_story_entry,backend/app/api/v1/routes/interview.py,441
DELETE,/api/v1/interview/stories/{story_id},interview,delete_story_entry,backend/app/api/v1/routes/interview.py,490
POST,/api/v1/interview/stream,interview,stream_turn,backend/app/api/v1/routes/interview.py,260
DELETE,/api/v1/interview/{session_id},interview,abandon,backend/app/api/v1/routes/interview.py,325
POST,/api/v1/interview/{session_id}/debrief,interview,debrief,backend/app/api/v1/routes/interview.py,273
POST,/api/v1/lessons,lessons,create_lesson,backend/app/api/v1/routes/lessons.py,73
DELETE,/api/v1/lessons/questions/{post_id},lessons,delete_question,backend/app/api/v1/routes/lessons.py,178
GET,/api/v1/lessons/questions/{post_id}/replies,lessons,get_question_replies,backend/app/api/v1/routes/lessons.py,139
POST,/api/v1/lessons/questions/{post_id}/vote,lessons,vote_on_question,backend/app/api/v1/routes/lessons.py,155
GET,/api/v1/lessons/{lesson_id},lessons,get_lesson,backend/app/api/v1/routes/lessons.py,48
PUT,/api/v1/lessons/{lesson_id},lessons,update_lesson,backend/app/api/v1/routes/lessons.py,82
GET,/api/v1/lessons/{lesson_id}/questions,lessons,get_lesson_questions,backend/app/api/v1/routes/lessons.py,95
POST,/api/v1/lessons/{lesson_id}/questions,lessons,post_lesson_question,backend/app/api/v1/routes/lessons.py,113
GET,/api/v1/lessons/{lesson_id}/resources,resources,list_lesson_resources,backend/app/api/v1/routes/resources.py,97
POST,/api/v1/misconceptions/analyze,misconceptions,analyze_misconceptions,backend/app/api/v1/routes/misconceptions.py,39
GET,/api/v1/mock/public-reports/{share_token},mock-interview,get_public_mock_report,backend/app/api/v1/routes/mock_interview.py,388
GET,/api/v1/mock/sessions,mock-interview,list_my_mock_sessions,backend/app/api/v1/routes/mock_interview.py,337
POST,/api/v1/mock/sessions/start,mock-interview,start_mock_session,backend/app/api/v1/routes/mock_interview.py,179
POST,/api/v1/mock/sessions/{session_id}/answer,mock-interview,submit_mock_answer,backend/app/api/v1/routes/mock_interview.py,219
POST,/api/v1/mock/sessions/{session_id}/complete,mock-interview,complete_mock_session,backend/app/api/v1/routes/mock_interview.py,274
GET,/api/v1/mock/sessions/{session_id}/report,mock-interview,get_mock_report,backend/app/api/v1/routes/mock_interview.py,315
POST,/api/v1/mock/sessions/{session_id}/share,mock-interview,share_mock_session,backend/app/api/v1/routes/mock_interview.py,367
GET,/api/v1/notifications/me,notifications,list_my_notifications,backend/app/api/v1/routes/notifications.py,36
POST,/api/v1/notifications/read-all,notifications,mark_all_read,backend/app/api/v1/routes/notifications.py,79
POST,/api/v1/notifications/{notification_id}/read,notifications,mark_read,backend/app/api/v1/routes/notifications.py,56
GET,/api/v1/path/summary,path,get_path_summary,backend/app/api/v1/routes/path_summary.py,20
POST,/api/v1/payments/free-enroll,payments-v2,free_enroll_route,backend/app/api/v1/routes/payments_v2.py,389
GET,/api/v1/payments/orders,payments-v2,list_orders_route,backend/app/api/v1/routes/payments_v2.py,181
POST,/api/v1/payments/orders,payments-v2,create_order_route,backend/app/api/v1/routes/payments_v2.py,110
GET,/api/v1/payments/orders/{order_id},payments-v2,get_order_route,backend/app/api/v1/routes/payments_v2.py,215
