path_template,method,caller_file,caller_line,via_helper
/api/v1/misconceptions/analyze,POST,frontend/src/lib/api-client.ts,641,wrapper
/api/v1/mock/public-reports/{*},GET,frontend/src/lib/hooks/use-mock-interview.ts,203,direct
/api/v1/mock/sessions,GET,frontend/src/lib/hooks/use-mock-interview.ts,185,direct
/api/v1/mock/sessions/start,POST,frontend/src/lib/hooks/use-mock-interview.ts,131,direct
/api/v1/mock/sessions/{*}/answer,POST,frontend/src/lib/hooks/use-mock-interview.ts,150,direct
/api/v1/mock/sessions/{*}/complete,POST,frontend/src/lib/hooks/use-mock-interview.ts,161,direct
/api/v1/mock/sessions/{*}/report,GET,frontend/src/lib/hooks/use-mock-interview.ts,175,direct
/api/v1/mock/sessions/{*}/share,POST,frontend/src/lib/hooks/use-mock-interview.ts,192,direct
/api/v1/notifications/me,GET,frontend/src/lib/api-client.ts,873,wrapper
/api/v1/notifications/read-all,POST,frontend/src/lib/api-client.ts,880,wrapper
/api/v1/notifications/{*}/read,POST,frontend/src/lib/api-client.ts,878,wrapper
/api/v1/path/summary,GET,frontend/src/lib/api-client.ts,1621,wrapper
/api/v1/payments/free-enroll,POST,frontend/src/lib/api-client.ts,1548,wrapper
/api/v1/payments/orders,GET,frontend/src/lib/api-client.ts,1544,wrapper
/api/v1/payments/orders,POST,frontend/src/lib/api-client.ts,1537,wrapper
/api/v1/payments/orders/{*},GET,frontend/src/lib/api-client.ts,1546,wrapper
/api/v1/payments/orders/{*}/confirm,POST,frontend/src/lib/api-client.ts,1539,wrapper
/api/v1/practice/review,POST,frontend/src/lib/api-client.ts,926,wrapper
/api/v1/practice/reviews,GET,frontend/src/lib/api-client.ts,930,wrapper
/api/v1/preferences/me,GET,frontend/src/lib/api-client.ts,954,wrapper
/api/v1/preferences/me,PATCH,frontend/src/lib/api-client.ts,956,wrapper
/api/v1/promotion/confirm,POST,frontend/src/lib/api-client.ts,1678,wrapper
/api/v1/promotion/summary,GET,frontend/src/lib/api-client.ts,1676,wrapper
/api/v1/readiness/diagnostic/sessions/{*}/abandon,POST,frontend/src/components/features/readiness-diagnostic/diagnostic-anchor.tsx,168,fetch
/api/v1/readiness/events,GET,frontend/src/lib/api-client.ts,1392,wrapper
/api/v1/readiness/events,POST,frontend/src/lib/api-client.ts,1380,wrapper
/api/v1/readiness/events/summary,GET,frontend/src/lib/api-client.ts,1402,wrapper
/api/v1/readiness/jd/decode,POST,frontend/src/lib/hooks/use-readiness.ts,78,direct
/api/v1/readiness/jd/{*},GET,frontend/src/lib/hooks/use-readiness.ts,93,direct
/api/v1/readiness/kit,GET,frontend/src/lib/api-client.ts,1317,wrapper
/api/v1/readiness/kit,POST,frontend/src/lib/api-client.ts,1315,wrapper
/api/v1/readiness/kit/{*},DELETE,frontend/src/lib/api-client.ts,1320,wrapper
/api/v1/readiness/kit/{*},GET,frontend/src/lib/api-client.ts,1319,wrapper
/api/v1/readiness/overview,GET,frontend/src/lib/api-client.ts,1276,wrapper
/api/v1/readiness/proof,GET,frontend/src/lib/api-client.ts,1277,wrapper
/api/v1/receipts/autopsy,GET,frontend/src/lib/api-client.ts,771,wrapper
/api/v1/receipts/autopsy,POST,frontend/src/lib/api-client.ts,769,wrapper
/api/v1/receipts/autopsy/{*},GET,frontend/src/lib/api-client.ts,773,wrapper
/api/v1/receipts/me,GET,frontend/src/lib/api-client.ts,854,wrapper
/api/v1/receipts/me/week,GET,frontend/src/lib/api-client.ts,855,wrapper
/api/v1/reflections/me,POST,frontend/src/lib/api-client.ts,499,wrapper
/api/v1/reflections/me/recent,GET,frontend/src/lib/api-client.ts,497,wrapper
/api/v1/reflections/me/today,GET,frontend/src/lib/api-client.ts,495,wrapper
/api/v1/resources/{*}/open,POST,frontend/src/lib/api-client.ts,370,wrapper
/api/v1/senior-review,POST,frontend/src/lib/api-client.ts,907,wrapper
/api/v1/skills/graph,GET,frontend/src/lib/api-client.ts,543,wrapper
/api/v1/skills/me,GET,frontend/src/lib/api-client.ts,544,wrapper
/api/v1/skills/me/path,GET,frontend/src/lib/hooks/use-skills.ts,56,direct
/api/v1/skills/me/path,POST,frontend/src/lib/hooks/use-skills.ts,65,direct
/api/v1/skills/path,GET,frontend/src/lib/api-client.ts,545,wrapper
/api/v1/skills/{*}/touch,POST,frontend/src/lib/api-client.ts,547,wrapper
/api/v1/srs/cards,POST,frontend/src/lib/api-client.ts,976,wrapper
/api/v1/srs/cards/{*}/review,POST,frontend/src/lib/api-client.ts,978,wrapper
/api/v1/srs/due,GET,frontend/src/lib/api-client.ts,974,wrapper
/api/v1/students/me/lessons/{*}/complete,DELETE,frontend/src/lib/api-client.ts,397,wrapper
/api/v1/students/me/lessons/{*}/complete,POST,frontend/src/lib/api-client.ts,395,wrapper
/api/v1/students/me/lessons/{*}/retrieval-quiz,GET,frontend/src/lib/api-client.ts,1139,wrapper
/api/v1/students/me/lessons/{*}/retrieval-quiz,POST,frontend/src/lib/api-client.ts,1143,wrapper
/api/v1/students/me/progress,GET,frontend/src/lib/api-client.ts,393,wrapper
/api/v1/tailored-resume/generate,POST,frontend/src/lib/hooks/use-tailored-resume.ts,97,direct
/api/v1/tailored-resume/intake,POST,frontend/src/lib/hooks/use-tailored-resume.ts,89,direct
/api/v1/tailored-resume/quota,GET,frontend/src/lib/hooks/use-tailored-resume.ts,81,direct
/api/v1/teach-back/evaluate,POST,frontend/src/lib/api-client.ts,697,wrapper
/api/v1/today/consistency,GET,frontend/src/lib/api-client.ts,1106,wrapper
/api/v1/today/intention,GET,frontend/src/lib/api-client.ts,1099,wrapper
/api/v1/today/intention,POST,frontend/src/lib/api-client.ts,1101,wrapper
/api/v1/today/micro-wins,GET,frontend/src/lib/api-client.ts,1107,wrapper
/api/v1/today/session/step/{*},POST,frontend/src/lib/api-client.ts,1110,wrapper
/api/v1/today/summary,GET,frontend/src/lib/api-client.ts,1108,wrapper
